stanice;lokalita;datum;srazky;snih;prumerna_teplota;maximalni_teplota;minimalni_teplota
GME00132274;PIDING;23.09.2015;4.3;;;12.6;7.6
GME00132274;PIDING;24.09.2015;0.7;;;13.4;7.5
GME00132274;PIDING;25.09.2015;0.0;;;15.6;9.5
GME00132274;PIDING;26.09.2015;0.2;;;15.3;10.3
GME00132274;PIDING;27.09.2015;0.0;;;14.0;7.6
GME00132274;PIDING;28.09.2015;0.0;;;14.7;3.1
GME00132274;PIDING;29.09.2015;0.0;;;15.8;0.2
GME00132274;PIDING;30.09.2015;0.0;;;14.3;0.5
GME00132274;PIDING;01.10.2015;0.0;0.0;;18.0;-0.1
GME00132274;PIDING;02.10.2015;0.0;0.0;;19.7;0.7
GME00132274;PIDING;03.10.2015;0.0;0.0;;23.6;4.9
GME00132274;PIDING;04.10.2015;1.0;0.0;;18.0;2.2
GME00132274;PIDING;05.10.2015;1.8;0.0;;19.1;1.3
GME00132274;PIDING;06.10.2015;12.3;0.0;;20.2;9.7
GME00132274;PIDING;07.10.2015;33.4;0.0;;15.3;11.5
GME00132274;PIDING;08.10.2015;0.0;0.0;;14.7;8.5
GME00132274;PIDING;09.10.2015;0.0;0.0;;16.8;6.4
GME00132274;PIDING;10.10.2015;6.7;0.0;;13.0;9.1
GME00132274;PIDING;11.10.2015;1.9;0.0;;9.2;1.1
GME00132274;PIDING;12.10.2015;0.0;0.0;;11.9;1.6
GME00132274;PIDING;13.10.2015;2.8;0.0;;10.6;3.3
GME00132274;PIDING;14.10.2015;6.1;0.0;;7.5;5.1
GME00132274;PIDING;15.10.2015;1.0;0.0;;7.5;5.1
GME00132274;PIDING;16.10.2015;2.0;0.0;;6.4;3.4
GME00132274;PIDING;17.10.2015;0.0;0.0;;10.5;3.7
GME00132274;PIDING;18.10.2015;6.9;0.0;;11.2;3.2
GME00132274;PIDING;19.10.2015;0.9;0.0;;8.6;1.3
GME00132274;PIDING;20.10.2015;0.0;0.0;;9.8;2.0
GME00132274;PIDING;21.10.2015;0.0;0.0;;12.3;2.9
GME00132274;PIDING;22.10.2015;0.0;0.0;;11.9;4.9
GME00132274;PIDING;23.10.2015;0.0;0.0;;12.3;4.8
GME00132274;PIDING;24.10.2015;0.0;0.0;;13.8;2.8
GME00132274;PIDING;25.10.2015;0.1;0.0;;17.1;1.4
GME00132274;PIDING;26.10.2015;0.0;0.0;;15.8;2.7
GME00132274;PIDING;27.10.2015;0.0;0.0;;12.9;2.2
GME00132274;PIDING;28.10.2015;0.0;0.0;;13.7;3.4
GME00132274;PIDING;29.10.2015;0.0;0.0;;11.2;4.3
GME00132274;PIDING;30.10.2015;0.0;0.0;;11.3;8.5
GME00132274;PIDING;31.10.2015;0.0;0.0;;15.2;1.1
GME00132274;PIDING;01.11.2015;0.0;0.0;;17.9;-2.1
GME00132274;PIDING;02.11.2015;0.0;0.0;;17.6;-4.2
GME00132274;PIDING;03.11.2015;0.0;0.0;;16.7;-5.2
GME00132274;PIDING;04.11.2015;0.0;0.0;;18.3;-1.6
GME00132274;PIDING;05.11.2015;0.0;0.0;;17.0;0.7
GME00132274;PIDING;06.11.2015;0.0;0.0;;18.3;-0.3
GME00132274;PIDING;07.11.2015;0.1;0.0;;16.2;3.9
GME00132274;PIDING;08.11.2015;0.0;0.0;;19.6;4.8
GME00132274;PIDING;09.11.2015;0.0;0.0;;20.4;3.0
GME00132274;PIDING;10.11.2015;0.0;0.0;;20.1;6.2
GME00132274;PIDING;11.11.2015;0.0;0.0;;17.2;0.8
GME00132274;PIDING;12.11.2015;0.0;0.0;;12.4;-1.5
GME00132274;PIDING;13.11.2015;3.2;0.0;;14.9;-2.4
GME00132274;PIDING;14.11.2015;1.0;0.0;;14.3;4.4
GME00132274;PIDING;15.11.2015;0.3;0.0;;21.3;4.5
GME00132274;PIDING;16.11.2015;0.0;0.0;;21.5;3.1
GME00132274;PIDING;17.11.2015;0.2;0.0;;15.6;1.1
GME00132274;PIDING;18.11.2015;0.0;0.0;;18.4;0.7
GME00132274;PIDING;19.11.2015;0.0;0.0;;16.2;3.1
GME00132274;PIDING;20.11.2015;25.3;0.0;;16.9;4.6
GME00132274;PIDING;21.11.2015;0.3;0.0;;4.8;-0.7
GME00132274;PIDING;22.11.2015;0.5;0.0;;2.7;-1.5
GME00132274;PIDING;23.11.2015;0.0;0.0;;3.7;-6.3
GME00132274;PIDING;24.11.2015;0.0;0.0;;2.3;-8.5
GME00132274;PIDING;25.11.2015;1.1;0.0;;3.3;-6.8
GME00132274;PIDING;26.11.2015;3.9;0.0;;2.3;0.4
GME00132274;PIDING;27.11.2015;0.0;0.0;;4.8;0.1
GME00132274;PIDING;28.11.2015;3.1;0.0;;4.5;-1.3
GME00132274;PIDING;29.11.2015;9.6;0.0;;9.3;-3.9
GME00132274;PIDING;30.11.2015;17.9;0.0;;11.1;4.7
GME00132274;PIDING;01.12.2015;21.7;0.0;;11.5;5.5
GME00132274;PIDING;02.12.2015;0.0;0.0;;10.2;4.3
GME00132274;PIDING;03.12.2015;0.0;0.0;;7.3;-3.6
GME00132274;PIDING;04.12.2015;0.0;0.0;;10.1;-5.2
GME00132274;PIDING;05.12.2015;0.0;0.0;;10.4;-3.3
GME00132274;PIDING;06.12.2015;0.0;0.0;;11.7;-4.2
GME00132274;PIDING;07.12.2015;0.0;0.0;;11.2;-3.5
